
体育频道,#genre#
北京纪实科教,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
北京卡酷少儿,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225654/index.m3u8
上海纪实人文,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
上海崇明台,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8
上海金山台,http://livejs1.newsjs.net/jspd/playlist.m3u8
江苏靖江新闻,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8

浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江综合,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江影视娱乐,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8




海南公共,https://live3.hnntv.cn/srs/tv/ggpd.m3u8
海南文旅,https://live3.hnntv.cn/srs/tv/wlpd.m3u8
海南新闻,https://live3.hnntv.cn/srs/tv/xwpd.m3u8
海南自贸,https://live3.hnntv.cn/srs/tv/jjpd.m3u8


宁夏经济,http://stream.nxtv.com.cn/jjpd/sd/live.m3u8
宁夏公共,http://stream.nxtv.com.cn/ggpd/sd/live.m3u8
宁夏少儿,http://stream.nxtv.com.cn/sepd/sd/live.m3u8

青海都市,http://stream.qhbtv.com/qhds/playlist.m3u8
青海经视,http://stream.qhbtv.com/qhsh/playlist.m3u8




香港RTHK31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
香港RTHK32,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
香港RTHK32,http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
香港RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
香港RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花 电影,https://cdn1.skygo.mn/live/disk1/Lotus/HLS-FTA/Lotus.m3u8


成人直播源,#genre#

日本1,http://103.36.32.14:5002/cs27.m3u8?token=guoziyun&gid=cs27&channel=zhongying

Brazzers,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
DORCEL TV,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
EROX,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
EROXXX,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
Hustler,https://live.iptvxxx.net/hustlertv.m3u8
Jenny For You,https://59ec5453559f0.streamlock.net/JennyForYou/smil:WEB3131/playlist.m3u8
Miami TV,https://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexico/playlist.m3u8
PenhouseGold,http://51.159.102.100/PenthouseGold/index.m3u8
Playboy HD,http://190.11.225.124:5000/live/playboy_hd/playlist.m3u8

RedLight HD,http://51.159.102.100/RedlightHD/index.m3u8

外语电视台,#genre#
HBO,http://41.205.93.154/HBO/index.m3u8
HBO+,http://170.254.18.106/HBO_PLUS/index.m3u8
HBO EXTREME,http://170.254.18.106/HBO_XTREME/index.m3u8
HBO family,http://170.254.18.106:80/HBO_FAMILY/index.m3u8
HBO HD,https://edge1.laotv.la/live/HBO/index.m3u8
HBO MUNDI,http://170.254.18.106:80/HBO_MUNDI/mono.m3u8
HBO Signature,http://170.254.18.106/HBO_SIG/index.m3u8
HBO2,http://170.254.18.106/HBO2/index.m3u8
HBO2,http://66.165.240.154:8080/live/2mghbo02/hls.m3u8
History,http://170.254.18.106/HISTORY/index.m3u8
History,http://41.205.93.154/HISTORY/index.m3u8
History Hit,https://i.mjh.nz/SamsungTVPlus/GBBA2200005ZA.m3u8
Kayo Pops 日本流行音乐,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs13
Love Nature,http://143.244.60.30/LOVE_NATURE/index.m3u8
Love ThePlanet,https://i.mjh.nz/SamsungTVPlus/GBBD500001F5.m3u8
M2o 音乐,https://streamcdnb2-4c4b867c89244861ac216426883d1ad0.msvdn.net:443/live/S62628868/uhdWBlkC1AoO/chunklist_b2428000.m3u8
MTV,http://170.254.18.106/MTV/index.m3u8
MTV Hits,http://45.88.92.3/tr3_MTVHits_SD/index.m3u8?token=test
MTV 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs18
WildEarth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
WildEarth,https://i.mjh.nz/SamsungTVPlus/GBBC4300002RW.m3u8
Wild Planet,https://d3c7duantorcb1.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-jpfvel38m2ce0-prod/77466ab3-8e6b-497f-9bf9-7b20f2536a20/3.m3u8
Wild Planet,https://i.mjh.nz/SamsungTVPlus/GBBB5000002PL.m3u8




abc 7 美国,http://41.205.93.154/ABC/index.m3u8
Action Movie,http://51.159.104.29:8080/action/index.m3u8
Adventure Earth,https://i.mjh.nz/SamsungTVPlus/GBBC900015D3.m3u8
半岛电视台 卡塔尔,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Always Funny Videos,https://i.mjh.nz/SamsungTVPlus/CABA3700001DB.m3u8
aMC 电影,http://170.254.18.106/AMC/index.m3u8
aMC 电影,http://170.254.18.106/AMC/mono.m3u8
aMC 电影,https://5def33c73f084e11a19ca77697d6b413.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_AMCPresents/playlist.m3u8
Thrillers 电影,https://436f59579436473e8168284cac5d725f.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_RushByAMC/playlist.m3u8
America's Dumbest Criminals,https://lnc-americas-dumbest-criminals.tubi.video/index.m3u8
Animal Planet,http://41.205.93.154/ANIMALPLANET/index.m3u8
Animal Planet 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs24
arirang Korea,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
asiancrush 亚洲电影,https://amg01201-cinedigmenterta-asiancrush-cineverse-x701o.amagi.tv/playlist/amg01201-cinedigmenterta-asiancrush-cineverse/playlist.m3u8
astro AWANI 马来西亚,https://d2idp3hzkhjpih.cloudfront.net/out/v1/4b85d9c2bf97413eb0c9fd875599b837/index.m3u8
AXS TV,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8

BBC Asia Pacific,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs15
BBC news 英国,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC Home 英国,https://d1wxiaxdr51kqy.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-perrpizm3ap26-prod/playlist.m3u8
BBC Travel 德语,https://i.mjh.nz/SamsungTVPlus/DEBA1000009TT.m3u8
BBC TWO 英国,http://41.205.93.154/BBCTWO/index.m3u8
BET 美国,http://170.254.18.106/BET/index.m3u8
BILLIARD TV 台球,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/billiard-tv/BILLIARDTV_SCTE.m3u8
Bloomberg 亚洲,https://www.bloomberg.com/media-manifest/streams/asia.m3u8
Bloomberg Originals,https://i.mjh.nz/SamsungTVPlus/GBBC900012J9.m3u8
Boxing TV,https://1180885077.rsc.cdn77.org/HLS/BOXINGTV.m3u8
Bravo,http://170.254.18.106/BRAVO/index.m3u8

Cartoon Network,https://qp-pldt-live-grp-12-prod.akamaized.net/out/u/cartoonnetworkhd_dr.m3u8
CBC Comedy,https://i.mjh.nz/SamsungTVPlus/CABD1200043OK.m3u8
CBC News Explore,https://i.mjh.nz/SamsungTVPlus/CABC2300009KD.m3u8
CBN News 美国,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
CBS News 美国,http://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_7.m3u8
CBS News 美国,https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8
CBS Mixible (ET),https://dai.google.com/linear/hls/event/xrVrJYTmTfitfXBQfeZByQ/master.m3u8
CINEMAX 电影,http://170.254.18.106/CINEMAX/index.m3u8
CINEMAX 电影,https://qp-pldt-live-grp-01-prod.akamaized.net/out/u/cinemaxhd_qp.m3u8
CineWestern 意大利,https://i.mjh.nz/SamsungTVPlus/ITBB20000072M.m3u8
Classic Bollywood,https://shls-live-ak.akamaized.net/out/v1/485100a2150e4f69a338a5c99ca5648e/index.m3u8
CNA 新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN 美国,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8
CNN 美国,https://i.mjh.nz/SamsungTVPlus/ITBD19000097D.m3u8
Comedy Central,http://170.254.18.106/COMEDY_CENTRAL/index.m3u8
Cooking Channel,http://170.254.18.106/COOKING/index.m3u8
Court TV,http://72.46.118.193/Court/index.m3u8

Discovery,http://170.254.18.106/DISCOVERY/index.m3u8
Disney日语,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs24
Disney Junior 日语,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs23
Divorce Court,https://44fbc29539b04817bbfc7e40a5b4a1ab.mediatailor.us-east-1.amazonaws.com/v1/master/82ded7a88773aef3d6dd1fedce15ba2d57eb6bca/wse_powr_com_5eb1e76d1474f9020c06f9ee/playlist.m3u8
DUBAI ONE,https://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/chunklist_b1800000.m3u8
DW 德国,https://cs.ebmcdn.net/eastbay-live-hs-1/apt/mp4:apt-world/HasBahCa.m3u8

ESPN 美国,http://143.244.60.30/ESPN/index.m3u8
euro news,https://i.mjh.nz/SamsungTVPlus/GBAJ4900020VP.m3u8
euro news,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV37.m3u8
euro news,https://39997b2f529e4793961899e546833a75.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung-es_EuroNewsLive/playlist.m3u8

Fashion TV,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Fight Network,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
Filmstream 电影,https://spi-filmstream-1-eu.rakuten.wurl.tv/playlist.m3u8
Fite TV,https://4d362f8e.wurl.com/U3BvcnRzVFZfUEZMTU1BX0hMUw/playlist.m3u8
Fox 5 New York,https://lnc-wnyw.tubi.video/index.m3u8
FOX Business 美国,http://41.205.93.154/FOXBUSINESS/index.m3u8
FOX Live Now 美国,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
FOX Live Now 美国,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
FRANCE 24,https://i.mjh.nz/SamsungTVPlus/ITBD1100002WX.m3u8
FRANCE 24,https://i.mjh.nz/SamsungTVPlus/GBBD1100002L5.m3u8
fubo SPORTS 美国,http://cdnmax.pro/live/S45C43U81V36R5/5ZS04ERNG2DCVPWG/96261.m3u8
GBNEWS,https://i.mjh.nz/SamsungTVPlus/GBBB1600008R3.m3u8
GCTV (Global Champion TV),https://i.mjh.nz/SamsungTVPlus/ITBD3600001Z9.m3u8
Global NEWS 加拿大,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8
GREAT action,http://185.19.191.2:8090/GreatAction/index.m3u8


H&C 赛马,https://hncfree-samsungau.amagi.tv/playlist.m3u8
HGTV,http://170.254.18.106/HGTV/index.m3u8
HGTV,http://143.244.60.97/HGTV/index.m3u8
HGTV,https://raw.githubusercontent.com/mimipipi22/lalajo/main/hgtv.m3u8
HGTV 意大利,https://i.mjh.nz/SamsungTVPlus/ITBD44000056I.m3u8
Horror Machine,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/horrormachine/playlist.m3u8
Hunt Channel,https://1111296894.rsc.cdn77.org/LS-ATL-56868-1/tracks-v1a1/mono.m3u8

KBS 韩国,https://i.mjh.nz/SamsungTVPlus/KR7000023Z.m3u8
KBS WORLD 韩国,https://ctrl.laotv.la/live/KBS/index.m3u8
KBS WORLD 韩国,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/master.m3u8
KBS WORLD 韩国,https://wms4-kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/playlist.m3u8
Kordia TV 音乐,https://ptvlive.kordia.net.nz/out/v1/3fc2254c865a457c8d7fbbce227a2aae/index.m3u8
Law & Crime,https://dai.google.com/linear/hls/event/3w3PsYzZQzS8lyRfi7e4mQ/master.m3u8
MBC 韩国,https://5ee9633b25727.streamlock.net/jmbc_tv/_definst_/jmbc_tv.stream/chunklist_w1081597033.m3u8
mix fm 音乐,http://strm.mixlive.eu/mixfm/tracks-v3a1/mono.m3u8
MOTO AMERICA TV,https://1422977263.rsc.cdn77.org/HLS/MOTOAMERICA_SCTE_Max.m3u8
Movie Plus 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs14
MOVIE SPHERE,https://moviesphereuk-samsunguk.amagi.tv/playlist.m3u8
MOVIE SPHERE,https://i.mjh.nz/SamsungTVPlus/GBBA33000557H.m3u8
Mr. Bean,http://51.159.104.29:8080/mrbean/index.m3u8




Music+,https://hugh.cdn.rumble.cloud/live/3fms19g4/slot-129/fpd5-jyun_1080p/chunklist_DVR.m3u8
MUTV 曼联足球俱乐部,https://bcovlive-a.akamaihd.net/r2d2c4ca5bf57456fb1d16255c1a535c8/eu-west-1/eu-west-1/6058004203001/profile_0/chunklist.m3u8
My Cinema Asia,http://210.210.155.37/uq2663/h/h193/index.m3u8
My Cinema Europe,http://210.210.155.37/uq2663/h/h18/01.m3u8
My Family Channel,http://210.210.155.37/uq2663/h/h194/index.m3u8
My Time Movie Network,https://mytime-tcl.amagi.tv/playlist288-p.m3u8

NASA TV 1 美国,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master.m3u8
NASA TV 1 美国,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NBC,http://41.205.93.154/NBC/index.m3u8
NBC Chicago,https://nbculocalfast.akamaized.net/hls/live/2096797/nbcchicago/master.m3u8
NBC Home,https://nbculocallive.akamaized.net/hls/live/2037096/lx/use1.m3u8
NBC News Now 美国,https://dai2.xumo.com/amagi_hls_data_xumo1212A-xumo-nbcnewsnow/CDN/master.m3u8
NBC News Now 美国,https://i.mjh.nz/SamsungTVPlus/ITBC4000028E.m3u8
New Movies (Samsung),https://bd281c27a16f4a7fb4a88260378e8082.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung_NewMovies/playlist.m3u8
New Movies (Plex),https://7732c5436342497882363a8cd14ceff4.mediatailor.us-east-1.amazonaws.com/v1/master/04fd913bb278d8775298c26fdca9d9841f37601f/Plex_NewMovies/playlist.m3u8
NEWSMAX 美国,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
next UP Live Comedy,https://i.mjh.nz/SamsungTVPlus/GBBD1100012JB.m3u8
NHKG 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd01
NHK WORLD JAPAN,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
NICKELODEON,http://143.244.60.30/NICKELODEON/index.m3u8
Nick Jr.,https://qp-pldt-live-grp-12-prod.akamaized.net/out/u/nickjr_dr.m3u8
NICKTOONS 动画,http://89.254.128.5:22280/nicktoons/video.m3u8
NIPPON TV 日本,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd03
NOW 80's 音乐,https://i.mjh.nz/SamsungTVPlus/GBBC900003B2.m3u8
