📺  CCTV,#genre#
新加坡亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
半岛电视台,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛电视台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛电视台2,http://live-hls-web-aja.getaj.net/AJA/02.m3u8

爱自然4K,P2p://starvod.xyz:19806/ba87030233c046908d7c7bfaa3ff9df6.ts
爱自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8$肥羊
艺术音乐4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8$肥羊yemingjkl

📺  专业,#genre#
求索纪录,http://10.26.0.23:4000/udp/239.253.224.231:8000
梨园频道,http://10.26.0.23:4000/udp/239.253.224.139:8000
武术世界,http://10.26.0.23:4000/udp/239.253.224.140:8000
文物宝库,http://10.26.0.23:4000/udp/239.253.224.141:8000
乐游,http://10.26.0.23:4000/udp/239.253.224.97:8000
生活时尚,http://10.26.0.23:4000/udp/239.253.224.99:8000
精彩影视,http://10.26.0.23:4000/udp/239.253.224.142:8000
都市剧场,http://10.26.0.23:4000/udp/239.253.224.98:8000
都市剧场,http://10.26.0.23:4000/udp/239.253.224.178:8000
法治天地,http://10.26.0.23:4000/udp/239.253.224.96:8000
金色学堂,http://10.26.0.23:4000/udp/239.253.224.101:8000
东方财经,http://10.26.0.23:4000/udp/239.253.224.94:8000
生态环境,http://10.26.0.23:4000/udp/239.253.224.119:8000
家庭理财,http://10.26.0.23:4000/udp/239.253.224.148:8000
财富天下,http://10.26.0.23:4000/udp/239.253.224.230:8000
先锋乒羽,http://10.26.0.23:4000/udp/239.253.224.155:8000
茶频道,http://10.26.0.23:4000/udp/239.253.224.143:8000
快乐垂钓,http://10.26.0.23:4000/udp/239.253.224.144:8000
发现之旅,http://10.26.0.23:4000/udp/239.253.224.162:8000
老故事,http://10.26.0.23:4000/udp/239.253.224.164:8000
游戏风云,http://10.26.0.23:4000/udp/239.253.224.95:8000
四海钓鱼,http://10.26.0.23:4000/udp/239.253.224.118:8000
先锋乒羽,http://10.26.0.23:4000/udp/239.253.224.145:8000
书画频道,http://10.26.0.23:4000/udp/239.253.224.146:8000
财富天下,http://10.26.0.23:4000/udp/239.253.224.147:8000
环球旅游,http://10.26.0.23:4000/udp/239.253.224.71:8000
车迷频道,http://10.26.0.23:4000/udp/239.253.224.73:8000
中华特产,http://10.26.0.23:4000/udp/239.253.224.76:8000
汽摩频道,http://10.26.0.23:4000/udp/239.253.224.161:8000
山东经济广播,http://10.26.0.23:4000/udp/239.253.224.166:8000
生态环境标清,http://10.26.0.23:4000/udp/239.253.224.75:8000
南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
重温经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_cwjd.flv
每经AI电视,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
中经电视,http://livepgc.chinamcache.com/pgc/ece75f76eaabce9f18d91588a90096cd.m3u8?auth_key=1688087053-0-0-23cbf908cc7d7529b5f3a0d862bbf503


📺  山东,#genre#
日照综合,http://10.26.0.23:4000/udp/239.253.224.254:8000
日照科教,http://10.26.0.23:4000/udp/239.253.224.253:8000
日照公共,http://10.26.0.23:4000/udp/239.253.224.250:8000
岚山电视台,http://10.26.0.23:4000/udp/239.253.224.252:8000
莒县电视台,http://10.26.0.23:4000/udp/239.253.224.251:8000
山东体育,http://10.26.0.23:4000/udp/239.253.224.22:8000
山东齐鲁,http://10.26.0.23:4000/udp/239.253.224.114:8000
山东生活,http://10.26.0.23:4000/udp/239.253.224.151:8000
山东综艺,http://10.26.0.23:4000/udp/239.253.224.159:8000
山东文旅,http://10.26.0.23:4000/udp/239.253.224.160:8000
山东新闻,http://10.26.0.23:4000/udp/239.253.224.23:8000
山东农科,http://10.26.0.23:4000/udp/239.253.224.24:8000
海洋频道,http://10.26.0.23:4000/udp/239.253.224.67:8000


📺  电影,#genre#
1905国内电影,https://tv.666150.xyz/1905.php
精选电影,http://10.26.0.23:4000/udp/239.253.224.210:8000
爱电影,http://10.26.0.23:4000/udp/239.253.224.128:8000
经典电影,http://10.26.0.23:4000/udp/239.253.224.126:8000
红色影院,http://10.26.0.23:4000/udp/239.253.224.209:8000
星影,http://10.26.0.23:4000/udp/239.253.224.216:8000
喜剧影院,http://10.26.0.23:4000/udp/239.253.224.220:8000
动作影院,http://10.26.0.23:4000/udp/239.253.224.221:8000
家庭电影,http://10.26.0.23:4000/udp/239.253.224.218:8000
光影,http://10.26.0.23:4000/udp/239.253.224.223:8000
野外,http://10.26.0.23:4000/udp/239.253.224.137:8000
音乐现场,http://10.26.0.23:4000/udp/239.253.224.202:8000
爱综艺,http://10.26.0.23:4000/udp/239.253.224.129:8000
重温经典影视,http://10.26.0.23:4000/udp/239.253.224.81:8000
经典剧场,http://10.26.0.23:4000/udp/239.253.224.211:8000
武侠剧场,http://10.26.0.23:4000/udp/239.253.224.212:8000
相声小品,http://10.26.0.23:4000/udp/239.253.224.136:8000
法制,http://10.26.0.23:4000/udp/239.253.224.138:8000
爱体育,http://10.26.0.23:4000/udp/239.253.224.109:8000
爱体育,http://10.26.0.23:4000/udp/239.253.224.131:8000
爱大剧,http://10.26.0.23:4000/udp/239.253.224.132:8000
谍战剧场,http://10.26.0.23:4000/udp/239.253.224.135:8000
军旅剧场,http://10.26.0.23:4000/udp/239.253.224.203:8000
古装剧场,http://10.26.0.23:4000/udp/239.253.224.205:8000
收视指南,http://10.26.0.23:4000/udp/239.253.224.124:8000
热播剧场,http://10.26.0.23:4000/udp/239.253.224.125:8000
城市剧场,http://10.26.0.23:4000/udp/239.253.224.201:8000
足球,http://10.26.0.23:4000/udp/239.253.224.204:8000
军事,http://10.26.0.23:4000/udp/239.253.224.207:8000
地理,http://10.26.0.23:4000/udp/239.253.224.208:8000
美人,http://10.26.0.23:4000/udp/239.253.224.213:8000
鉴赏,http://10.26.0.23:4000/udp/239.253.224.214:8000
国学,http://10.26.0.23:4000/udp/239.253.224.215:8000
墨宝,http://10.26.0.23:4000/udp/239.253.224.222:8000
戏曲,http://10.26.0.23:4000/udp/239.253.224.224:8000
爱生活,http://10.26.0.23:4000/udp/239.253.224.225:8000
解密,http://10.26.0.23:4000/udp/239.253.224.226:8000
武术,http://10.26.0.23:4000/udp/239.253.224.227:8000
美妆,http://10.26.0.23:4000/udp/239.253.224.228:8000

📺  少儿,#genre#
CGTN 纪录,http://10.26.0.23:4000/udp/239.253.224.188:8000
CGTN,http://10.26.0.23:4000/udp/239.253.224.189:8000

CCTV-14 少儿,http://10.26.0.23:4000/udp/239.253.224.236:8000
CETV1,http://10.26.0.23:4000/udp/239.253.224.110:8000
CETV2,http://10.26.0.23:4000/udp/239.253.224.107:8000
CETV4,http://10.26.0.23:4000/udp/239.253.224.116:8000
山东教育,http://10.26.0.23:4000/udp/239.253.224.59:8000


动漫秀场,http://10.26.0.23:4000/udp/239.253.224.115:8000
山东少儿,http://10.26.0.23:4000/udp/239.253.224.25:8000
北京少儿,http://10.26.0.23:4000/udp/239.253.224.66:8000
金鹰卡通,http://10.26.0.23:4000/udp/239.253.224.117:8000
嘉佳卡通,http://10.26.0.23:4000/udp/239.253.224.65:8000
哈哈炫动,http://10.26.0.23:4000/udp/239.253.224.63:8000
优漫卡通,http://10.26.0.23:4000/udp/239.253.224.64:8000
优优宝贝,http://10.26.0.23:4000/udp/239.253.224.72:8000
少儿动画,http://10.26.0.23:4000/udp/239.253.224.127:8000
动画,http://10.26.0.23:4000/udp/239.253.224.229:8000
早教,http://10.26.0.23:4000/udp/239.253.224.217:8000
好学生,http://10.26.0.23:4000/udp/239.253.224.219:8000
新动漫,http://10.26.0.23:4000/udp/239.253.224.149:8000
新动漫,http://10.26.0.23:4000/udp/239.253.224.157:8000
中学生,http://10.26.0.23:4000/udp/239.253.224.163:8000

🌏  浙江,#genre#
浙江卫视,https://zwebl02.cztv.com/live/channel011080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-ec2283c392de5aa07c72e770576478bb 
浙江国际,https://zwebl02.cztv.com/live/channel101080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-895310d00bcd28384a9238088f08375a
浙江钱江,https://zwebl02.cztv.com/live/channel021080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-00cc26403bae15d2d0ef1c4380e4664f 
浙江经济,https://zwebl02.cztv.com/live/channel031080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-b4fe6682a137b6739ec212c93c5a8def 
浙江科教,https://zwebl02.cztv.com/live/channel041080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-9c4515bba4ac0ad426356b260449477f 
浙江民生,https://zwebl02.cztv.com/live/channel061080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-282c3b532279f2b8bad8ebde1b41632f 
浙江新闻,https://zwebl02.cztv.com/live/channel071080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-d7a412e81007d77a8c8e9b582efd7ee3 
浙江少儿,https://zwebl02.cztv.com/live/channel081080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-668e5a5a00e74f14f426cc55210a4ff9  
之江纪录,https://zwebl02.cztv.com/live/channel121080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-efed1fc72c5cdbd9a29cd69eaaddfee1 


浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江科教,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8


🌐  景区,#genre#
青岛五四广场,http://video11.qtv.com.cn/aqdwsgc2022/manifest.m3u8
青岛奥帆中心,http://video10.qtv.com.cn/aqdafzx2022/manifest.m3u8
青岛太平角,http://video10.qtv.com.cn/aqdtp2022/manifest.m3u8
青岛太平湾,http://video10.qtv.com.cn/sxt203/manifest.m3u8
青岛快速路1,http://video10.qtv.com.cn/sxt1/manifest.m3u8
青岛快速路2,http://video10.qtv.com.cn/sxt3/manifest.m3u8
青岛快速路3,http://video10.qtv.com.cn/sxt2/manifest.m3u8
都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
都江堰妃妃,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
都江堰娅祥,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
都江堰瑞瑞,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
都江堰壹壹玖玖,http://gcalic.v.myalicdn.com/gc/xiongmao14_1/index.m3u8
都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
怡然②,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
基地幼年园①,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园②,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
基地母子园①,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
基地母子园②,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
基地幼儿园①,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园②,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
基地成年园①,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
基地成年园②,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
基地别墅①,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
基地别墅①,http://gccnchwc.v.cdn20.com/gc/xiongmao09_1.flv
基地别墅②,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8

大丰麋鹿,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8
白马雪山,http://gcalic.v.myalicdn.com/gc/xiongmao24_1/index.m3u8
成都高清,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
都江堰高清,http://gcalic.v.myalicdn.com/gc/ipanda1000_1td/index.m3u8

💝 乡村食叔,#genre#
1 鲍汁豆腐,https://vd4.bdstatic.com/mda-nec91x1nvgejnd5u/480p/h264/1652425268946984260/mda-nec91x1nvgejnd5u.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655033746-0-0-1964bc131eb8a4757e126fa7072034c8&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=0346634098&vid=13175973280064025498&abtest=all
2 地锅鸡,https://vd4.bdstatic.com/mda-nee3w9hvysz2htkk/480p/h264/1652583640234131248/mda-nee3w9hvysz2htkk.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655033701-0-0-448270cbc0e8dd01b1d3e3e79c645ede&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=0300946132&vid=11820591972211290892&abtest=all
3 河蟹一锅烩,https://vd2.bdstatic.com/mda-nekcx3v9ett2ris5/480p/h264/1653125375347700570/mda-nekcx3v9ett2ris5.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655033479-0-0-b49abd06012eb0b266a58d9dca5c7f5f&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=0079449514&vid=6322076425195603579&abtest=all
4 红曲酱鸭,https://vd3.bdstatic.com/mda-neh81rk1eiuv3w27/480p/h264/1652854920609442406/mda-neh81rk1eiuv3w27.mp4?auth_key=1655033521-0-0-f906c86fac0f9d712e6b40db422982b9&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=0121635443&vid=6641467693514512194&abtest=all
5 红烧海茄子,https://vd2.bdstatic.com/mda-ne9adpzib1w2s7i6/480p/h264/1652168146543774177/mda-ne9adpzib1w2s7i6.mp4?v_from_s=hkapp-haokan-hna&auth_key=1655034801-0-0-619992652cfa0b8d01757056583c773a&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1401746639&vid=10650375313183094889&abtest=all
6 红烧猪蹄尾,https://vd2.bdstatic.com/mda-ndp7arg08yycud5e/480p/h264_delogo/1650778031719082935/mda-ndp7arg08yycud5e.mp4?auth_key=1655035241-0-0-12f7145bb87ea14d123af8da6070771a&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1841691460&vid=6859572154973162023&abtest=all
7 鸿运猪头,https://vd3.bdstatic.com/mda-ndj8t1xtu0qf1vp7/480p/h264_delogo/1650436754621760647/mda-ndj8t1xtu0qf1vp7.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655035359-0-0-e2b5b52787d54808740e5abc56f67794&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1959759277&vid=11845744374558766684&abtest=all
8 姜辣棒骨,https://vd2.bdstatic.com/mda-nda9532dzfpmrpjb/480p/h264_delogo/1649660429454395375/mda-nda9532dzfpmrpjb.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655035937-0-0-e8dc2cb7fe4807a23083c7a22a38899c&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2537470207&vid=17829729200355816866&abtest=all
9 炕锅羊头,https://vd2.bdstatic.com/mda-ndkbtvkkzmzry5gr/hd/cae_h264_delogo/1650858156241136824/mda-ndkbtvkkzmzry5gr.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1655035320-0-0-148e9e7804a8284edd6678b00cb60beb&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1920864857&vid=8826414521234968806&abtest=all
10 捞汁小龙虾,https://vd3.bdstatic.com/mda-ne387zfv91c5g2k5/480p/h264_delogo/1651645733563996673/mda-ne387zfv91c5g2k5.mp4?auth_key=1655034938-0-0-f67414abe6c0fd2af2b35924a0197a6f&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1538686534&vid=6515617102699814471&abtest=all
11 撸串啦,https://vd2.bdstatic.com/mda-ne48i7vifyexiccb/480p/h264_delogo/1651732938900046773/mda-ne48i7vifyexiccb.mp4?auth_key=1655034895-0-0-a942e737aa44f790ad5d3f354b2f51d0&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1495944959&vid=6742202792636338419&abtest=all
12 麻辣田螺,https://vd2.bdstatic.com/mda-nebbx1csfuye4nu0/480p/h264/1652344240987321761/mda-nebbx1csfuye4nu0.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1655034713-0-0-01a4b4618e1e3b9e24080b6f8b58bbb4&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1313440992&vid=3348990192010659836&abtest=all
13 麻辣兔头,https://vd2.bdstatic.com/mda-ndr9vd3muu069myi/480p/h264_delogo/1650956744271709907/mda-ndr9vd3muu069myi.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1655035207-0-0-35a7618c2c86d9455e0d8550e048ead7&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1807001502&vid=10868651239061775579&abtest=all
14 麻辣小龙虾,https://vd3.bdstatic.com/mda-ndu9tguy0fay7ye1/480p/h264_delogo/1651215429015875965/mda-ndu9tguy0fay7ye1.mp4?v_from_s=hkapp-haokan-hna&auth_key=1655035125-0-0-f68c0c5448e434f9570361e845bdce0d&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1725743161&vid=9743722764712261597&abtest=all
15 梅菜扣肉,https://vd4.bdstatic.com/mda-ndc94dad3mfaia93/480p/h264_delogo/1649832429929756958/mda-ndc94dad3mfaia93.mp4?v_from_s=hkapp-haokan-hna&auth_key=1655035906-0-0-de5eee241441d09558105da7eef5dc68&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2506904726&vid=10980852652573181338&abtest=all
